epcho,loss,acc
1,1.0335917,0.76875
2,0.7688213,0.7875
3,0.77237064,0.75625
4,0.7938381,0.734375
5,0.77654934,0.728125
6,0.5470362,0.8
7,0.41002932,0.840625
8,0.47133017,0.809375
9,0.57650644,0.74375
10,0.45967835,0.828125
11,0.51035035,0.790625
12,0.40241605,0.846875
13,0.43105635,0.84375
14,0.35948125,0.871875
15,0.45949745,0.821875
16,0.42450172,0.83125
17,0.50933826,0.803125
18,0.4853588,0.803125
19,0.39782944,0.86875
20,0.3838094,0.8375
21,0.38779244,0.846875
22,0.3906528,0.8625
23,0.4448747,0.815625
24,0.44637108,0.825
25,0.3979495,0.84375
26,0.3798762,0.83125
27,0.41722912,0.815625
28,0.35098338,0.85
29,0.3167681,0.86875
30,0.2759875,0.884375
31,0.32982853,0.878125
32,0.2981214,0.88125
33,0.27664274,0.884375
34,0.25989884,0.8875
35,0.2331439,0.90625
36,0.22584626,0.90625
37,0.23882866,0.88125
38,0.17598681,0.94375
39,0.15047824,0.94375
40,0.1919587,0.93125
41,0.19909796,0.91875
42,0.1432098,0.95
43,0.15945533,0.953125
44,0.1335839,0.94375
45,0.10200441,0.98125
46,0.113855645,0.965625
47,0.11451981,0.971875
48,0.104279,0.975
49,0.089308254,0.9875
50,0.08303666,0.98125
51,0.062067557,0.990625
52,0.07980384,0.971875
53,0.08914586,0.984375
54,0.07828174,0.9875
55,0.06604193,0.990625
56,0.05134528,0.990625
57,0.06771753,0.984375
58,0.061394226,0.990625
59,0.067257464,0.978125
60,0.050976,0.9875
61,0.055918336,0.9875
62,0.043895967,0.99375
63,0.042977784,0.990625
64,0.042185415,0.99375
65,0.033294108,0.99375
66,0.042570237,0.990625
67,0.028787766,0.996875
68,0.04821015,0.990625
69,0.031074906,0.996875
70,0.030644795,1.0
71,0.029426849,0.996875
72,0.025544906,1.0
73,0.025432412,0.996875
74,0.019511826,0.99375
75,0.02329756,1.0
76,0.017854322,0.996875
77,0.019446786,1.0
78,0.033390805,0.996875
79,0.025381517,0.99375
80,0.020087954,0.996875
81,0.01733976,0.996875
82,0.018301712,0.996875
83,0.015047753,0.996875
84,0.015328961,0.996875
85,0.018881263,1.0
86,0.013351753,1.0
87,0.009368113,1.0
88,0.010364182,1.0
89,0.015222299,0.99375
90,0.018293435,0.996875
91,0.013027331,1.0
92,0.0048922445,1.0
93,0.01243677,1.0
94,0.010790953,1.0
95,0.018926356,0.99375
96,0.0067189136,1.0
97,0.006307439,1.0
98,0.007063383,1.0
99,0.008090289,1.0
100,0.0056653484,1.0
101,0.005830831,1.0
102,0.004765938,1.0
103,0.009040401,0.996875
104,0.005683128,1.0
105,0.0052244584,1.0
106,0.0064434693,0.996875
107,0.003064556,1.0
108,0.005574961,0.996875
109,0.0023856512,1.0
110,0.004093091,1.0
111,0.0027925475,1.0
112,0.0040667364,1.0
113,0.004175783,1.0
114,0.003103597,1.0
115,0.0021635978,1.0
116,0.0044211014,1.0
117,0.00338903,1.0
118,0.0021545705,1.0
119,0.0028197123,1.0
120,0.0034314771,1.0
121,0.0028330062,1.0
122,0.003475909,1.0
123,0.0024770398,1.0
124,0.0020666434,1.0
125,0.00379857,1.0
126,0.0017600231,1.0
127,0.0013919788,1.0
128,0.0024879545,1.0
129,0.0025861964,1.0
130,0.0012461987,1.0
131,0.0042938655,1.0
132,0.0019790735,1.0
133,0.0014783724,1.0
134,0.0013009828,1.0
135,0.002697754,1.0
136,0.0015979623,1.0
137,0.004285457,1.0
138,0.0012708746,1.0
139,0.0013315128,1.0
140,0.002080587,1.0
141,0.0008248737,1.0
142,0.001041287,1.0
143,0.0013218696,1.0
144,0.0017779019,1.0
145,0.0015197495,1.0
146,0.00637212,0.996875
147,0.00097210275,1.0
148,0.002351566,1.0
149,0.0005408926,1.0
150,0.0006493726,1.0
151,0.0025703285,1.0
152,0.0004710288,1.0
153,0.001068805,1.0
154,0.0024583829,0.996875
155,0.0008898048,1.0
156,0.0010764174,1.0
157,0.00060613814,1.0
158,0.0023552603,1.0
159,0.000505732,1.0
160,0.0008104395,1.0
161,0.00078969216,1.0
162,0.00080765213,1.0
163,0.0010213191,1.0
164,0.00058874785,1.0
165,0.0010356366,1.0
166,0.0007705571,1.0
167,0.00062397873,1.0
168,0.00083518325,1.0
169,0.00043447939,1.0
170,0.00025732358,1.0
171,0.0006516279,1.0
172,0.0007994894,1.0
173,0.00061773404,1.0
174,0.0007552669,1.0
175,0.001120594,1.0
176,0.0014322387,1.0
177,0.0024506901,1.0
178,0.0005148085,1.0
179,0.0002593528,1.0
180,0.0009003441,1.0
181,0.0002596001,1.0
182,0.0007411544,1.0
183,0.003645032,1.0
184,0.00041523995,1.0
185,0.0003575765,1.0
186,0.00037114293,1.0
187,0.0005424444,1.0
188,0.0005236121,1.0
189,0.00023186817,1.0
190,0.0006027201,1.0
191,0.0001717835,1.0
192,0.00033712536,1.0
193,0.00030629445,1.0
194,0.0002321883,1.0
195,0.0002498615,1.0
196,0.0009695034,1.0
197,0.00019284275,1.0
198,0.00061246846,1.0
199,0.00031427626,1.0
200,0.00033933768,1.0
201,0.00035236258,1.0
202,0.00033430132,1.0
203,0.00046973443,1.0
204,0.00028911908,1.0
205,0.00033221702,1.0
206,0.0005520062,1.0
207,0.00040569677,1.0
208,0.00027581287,1.0
209,0.00053007354,1.0
210,0.0005161382,1.0
211,0.0003205903,1.0
212,0.00034124404,1.0
213,0.0003696878,1.0
214,0.00016810418,1.0
215,0.00022787173,1.0
216,0.00034339252,1.0
217,0.00015359593,1.0
218,0.00013795227,1.0
219,0.00030229558,1.0
220,0.0001942653,1.0
221,0.00028130677,1.0
222,0.0004056079,1.0
223,7.647823e-05,1.0
224,0.00023595123,1.0
225,0.00016506293,1.0
226,0.00030255847,1.0
227,0.00015585971,1.0
228,8.912573e-05,1.0
229,0.00021949476,1.0
230,0.00019373547,1.0
231,0.00043976828,1.0
232,0.00013593897,1.0
233,0.00047352025,1.0
234,0.00019649652,1.0
235,0.0001724927,1.0
236,0.00015199164,1.0
237,0.00020001754,1.0
238,0.00016173345,1.0
239,0.00013778642,1.0
240,0.00010474257,1.0
241,0.00014726512,1.0
242,9.670974e-05,1.0
243,6.3669635e-05,1.0
244,0.00022258409,1.0
245,0.00032044202,1.0
246,0.00012077736,1.0
247,7.9588455e-05,1.0
248,0.00013532344,1.0
249,0.00012134739,1.0
250,7.343659e-05,1.0
251,0.0002715515,1.0
252,0.00047547207,1.0
253,4.3618445e-05,1.0
254,0.00039324895,1.0
255,0.00015318707,1.0
256,0.00039861928,1.0
257,8.95798e-05,1.0
258,7.083801e-05,1.0
259,7.7707155e-05,1.0
260,0.00014106843,1.0
261,0.00041183052,1.0
262,5.5670425e-05,1.0
263,0.0002140803,1.0
264,7.6630306e-05,1.0
265,0.00043042237,1.0
266,0.00030715344,1.0
267,0.00023118868,1.0
268,0.0010954567,1.0
269,0.00032443125,1.0
270,4.8698414e-05,1.0
271,0.00035742152,1.0
272,0.00039951387,1.0
273,0.00020578373,1.0
274,3.6179903e-05,1.0
275,4.1334068e-05,1.0
276,0.0004511006,1.0
277,9.293893e-05,1.0
278,6.9722475e-05,1.0
279,0.000107273074,1.0
280,0.00012198642,1.0
281,0.00019828886,1.0
282,0.00018624982,1.0
283,4.55e-05,1.0
284,3.5299192e-05,1.0
285,7.6082244e-05,1.0
286,6.508986e-05,1.0
287,7.990454e-05,1.0
288,4.6741963e-05,1.0
289,0.00012306876,1.0
290,4.0195417e-05,1.0
291,4.127781e-05,1.0
292,0.00010858583,1.0
293,6.988998e-05,1.0
294,0.00045232597,1.0
295,0.00010324155,1.0
296,0.00025110165,1.0
297,9.501921e-05,1.0
298,8.8172805e-05,1.0
299,0.00016922824,1.0
300,0.0026936163,0.996875
301,0.00013125772,1.0
302,4.9931008e-05,1.0
303,0.0001501716,1.0
304,0.00016468306,1.0
305,3.0002624e-05,1.0
306,9.750352e-05,1.0
307,0.000118630865,1.0
308,0.00011257257,1.0
309,4.871535e-05,1.0
310,6.5201704e-05,1.0
311,7.021628e-05,1.0
312,6.0217328e-05,1.0
313,8.847355e-05,1.0
314,0.00055640674,1.0
315,5.021734e-05,1.0
316,9.6324104e-05,1.0
317,0.00010787451,1.0
318,7.826809e-05,1.0
319,3.30712e-05,1.0
320,0.00014594136,1.0
321,6.45828e-05,1.0
322,3.0399411e-05,1.0
323,5.8121805e-05,1.0
324,4.0425635e-05,1.0
325,4.42721e-05,1.0
326,7.756361e-05,1.0
327,4.188115e-05,1.0
328,0.0002760017,1.0
329,2.9309047e-05,1.0
330,4.1628045e-05,1.0
331,7.531961e-05,1.0
332,5.3740987e-05,1.0
333,0.00025669887,1.0
334,0.00025319037,1.0
335,9.2017035e-05,1.0
336,2.7014074e-05,1.0
337,0.00018782352,1.0
338,0.00042573526,1.0
339,0.00012497231,1.0
340,3.6909194e-05,1.0
341,4.6706227e-05,1.0
342,8.5931155e-05,1.0
343,4.028946e-05,1.0
344,4.750503e-05,1.0
345,0.00011021974,1.0
346,4.9110637e-05,1.0
347,0.00012651118,1.0
348,2.9248651e-05,1.0
349,6.4251e-05,1.0
350,3.6817444e-05,1.0
351,8.067789e-05,1.0
352,5.844247e-05,1.0
353,8.199909e-05,1.0
354,6.20859e-05,1.0
355,6.954261e-05,1.0
356,6.6140274e-05,1.0
357,0.0002449977,1.0
358,4.3064912e-05,1.0
359,0.000124489,1.0
360,0.00074072846,1.0
361,4.4326152e-05,1.0
362,5.043947e-05,1.0
363,3.185633e-05,1.0
364,0.00015107458,1.0
365,0.00010187563,1.0
366,2.0169688e-05,1.0
367,3.3665165e-05,1.0
368,3.886079e-05,1.0
369,9.28137e-05,1.0
370,9.703309e-05,1.0
371,5.997959e-05,1.0
372,7.58652e-05,1.0
373,4.835367e-05,1.0
374,7.071338e-05,1.0
375,3.3158285e-05,1.0
376,5.4839144e-05,1.0
377,6.822348e-05,1.0
378,3.5015913e-05,1.0
379,0.0001319743,1.0
380,0.00011785746,1.0
381,2.3340172e-05,1.0
382,2.8536446e-05,1.0
383,7.423291e-05,1.0
384,4.374845e-05,1.0
385,2.9562954e-05,1.0
386,9.4510724e-05,1.0
387,2.5267838e-05,1.0
388,6.478811e-05,1.0
389,6.196778e-05,1.0
390,6.600253e-05,1.0
391,7.61825e-05,1.0
392,2.1866716e-05,1.0
393,8.2519175e-05,1.0
394,3.8346177e-05,1.0
395,3.5568908e-05,1.0
396,4.137503e-05,1.0
397,0.00017671396,1.0
398,4.1036452e-05,1.0
399,8.369806e-05,1.0
400,0.00017143453,1.0
